name,gender,year_of_birth,level_of_education,country_three_letters,country_name
8ad11bdb2ba393977746baed42741cf9411cc4d2,m,1979,Masters or professional degree,PRT,Portugal
8cf230712c56096a76672a51f277eca20261ab41,m,2003,Elementary/Primary School,USA,United States
b7dddd9bec0df60ecc71b683d00ac17baa25d1f1,f,1976,Bachelors,USA,United States
653488d054a6f4e6c2285055b082ee43eb9b779f,m,1995,Secondary/High School,MEX,Mexico
ca69828a894c5177296213db3ec7e4bdf0e02fbd,m,1995,Secondary/High School,EGY,Egypt
a10d541f6e3aed5a9e4b0e6439375e0d46352000,m,1997,Secondary/High School,USA,United States
b77bf7435033f08973ff37d1d98716b08f3c1305,m,1969,Masters or professional degree,USA,United States
2d4ee3d645a5c5e4061818baeac13fafbf0ada6a,f,1982,Masters or professional degree,DEU,Germany
2d4ee3d645a5c5e4061818baeac13fafbf0ada6a,f,1982,Masters or professional degree,USA,United States
2d4ee3d645a5c5e4061818baeac13fafbf0ada6a,f,1982,Masters or professional degree,TWN,Taiwan; Republic of China (ROC)
c24223d58f8e53ba24ed0a164c437aa368d1d3f2,m,1982,Bachelors,CAN,Canada
e7eb91deb752a55f638130ab1edd3fad9d4bf5af,m,1989,Secondary/High School,YEM,Yemen
0f776de658cc12aef5424e66e45c0deb04795a1d,m,1987,Bachelors,AZE,Azerbaijan
76bd104a748897af44e9e3385fc2f8460e4cabce,m,1945,Doctorate,USA,United States
c1a6fb58bdb5194abc7f3822bb0cf20f78880cfc,f,1985,Masters or professional degree,GBR,United Kingdom
b6e8af468f41de75fefdc9d929d0ad28b86b6caf,m,1973,Bachelors,USA,United States
85b75a95155fdcf08eaf63a232b3bbfc72679909,m,1987,Masters or professional degree,IND,India
c6488cccdec7a87486b0bc5314f20ca1f8d358ec,m,1995,Secondary/High School,EGY,Egypt
a68a0a53efa5c97259ce7e1f75a3ddf2a66e28c2,m,1980,Bachelors,USA,United States
b6fb597e832ec9396c669b41701bdded6dd54e81,m,1981,Bachelors,FIN,Finland
b6fb597e832ec9396c669b41701bdded6dd54e81,m,1981,Bachelors,TZA,Tanzania United Republic of
99fd2cd196b721e724160b289bd220df94628005,f,1986,Bachelors,USA,United States
cf576a318fe31d7d473f776ae87664db108ea5d4,f,1993,Secondary/High School,USA,United States
02d54bb03850363ad7f1c71c61d9b082d11d9081,m,1950,Masters or professional degree,USA,United States
b2ad33d89e6ad9697f88c6393981296b8ddd2766,,\N,User withheld,USA,United States
65928db1a8196659607aee669442b1eff50990a4,,\N,User withheld,USA,United States
41fbcd13a10577aabfba37e22897ae3db1bb1455,m,1976,Bachelors,NGA,Nigeria
41fbcd13a10577aabfba37e22897ae3db1bb1455,m,1976,Bachelors,DEU,Germany
41fbcd13a10577aabfba37e22897ae3db1bb1455,m,1976,Bachelors,BEL,Belgium
5cca583905cca25d3d86767ce1cee074d0dcd6a9,m,1957,Masters or professional degree,AUS,Australia
5cca583905cca25d3d86767ce1cee074d0dcd6a9,m,1957,Masters or professional degree,USA,United States
5cca583905cca25d3d86767ce1cee074d0dcd6a9,m,1957,Masters or professional degree,SGP,Singapore
32cef6955496084d173d76254c3263d4cbb90015,m,1983,Other,USA,United States
b7d378386602ebfc0d411e406f8eb97718b72a05,m,1976,Masters or professional degree,USA,United States
a3a1967f0928826211639569c2ec5ee37172367c,m,1972,Bachelors,TUR,Turkey
5172994f3faf549cbdf16efce0d29567abdee8f8,f,2000,Secondary/High School,KOR,Korea Republic of
5172994f3faf549cbdf16efce0d29567abdee8f8,f,2000,Secondary/High School,AUS,Australia
3a1e04b1d948046d96e4fabc3e59bdbb1d2477ba,m,1985,Masters or professional degree,SAU,Saudi Arabia
3a1e04b1d948046d96e4fabc3e59bdbb1d2477ba,m,1985,Masters or professional degree,USA,United States
f4dc298272ea2c3d42ae45b809e70c30d8e87155,f,1982,Masters or professional degree,USA,United States
6af86359eb1ac8e66d2f25cb376e56ee275b2665,f,1994,Bachelors,IND,India
d19025712d30b8b4110430a47ee1a654cd310f8f,f,1995,Secondary/High School,IND,India
cc7b5a53a4f9f9569d48458ba7655da43a5de45e,f,1991,Bachelors,SDN,Sudan
cc7b5a53a4f9f9569d48458ba7655da43a5de45e,f,1991,Bachelors,USA,United States
f2801df20c4c8bd41cdffb169e9259f8c537df99,f,1983,Bachelors,USA,United States
fd0a4267e3e30d8001aabf9a1d8320a0b4722769,m,1994,Secondary/High School,IND,India
68a3013f79135c115764ed6c4a8ffa223b8a5b42,m,1989,Bachelors,SGP,Singapore
de91a788469214f501464785cb392c4ee144e0ea,m,1992,Bachelors,IND,India
de91a788469214f501464785cb392c4ee144e0ea,m,1992,Bachelors,GBR,United Kingdom
de91a788469214f501464785cb392c4ee144e0ea,m,1992,Bachelors,CHN,China
7d26d3137e2b0cc023d537b18c4a07db766ee52e,m,1994,Secondary/High School,USA,United States
7d26d3137e2b0cc023d537b18c4a07db766ee52e,m,1994,Secondary/High School,ZZZ,Reserved
c816b34fb65aae3771341d89f33cbfea015ed274,m,1986,Masters or professional degree,BGD,Bangladesh
6add56beb2a9f505dc6f37517afe97ef6616c7d1,m,1984,Associates,USA,United States
e193d38e2de5e57fcfa770691e07857a66a01655,m,1993,Bachelors,EGY,Egypt
1a1df3c0804f46fa663d6e46c4271785ad676b19,f,\N,Secondary/High School,RUS,Russian Federation
