name,performance,dropout_status,course,forum_score
7b3b378dc8d2652354c2fc1b80880e51b4785895,0.0,1,1,0.08
b7cb881ee753ea767b7c5fb196fe440cd495599f,0.03,1,1,0.74
56e89944cc9cd3c3c65be8d79477a9f160485cce,0.0,1,1,0.77
3dda46e923b12232d9a88cce59465812929217d2,0.0,1,1,0.8
ed2b115ae2d93ad30c4d17ea6a87f85c31bbb526,0.0,1,1,0.46
4c4a854465628d4d652bc5f0049aeed573aeaa7b,0.0,1,1,0.43
966a601ba0e46b2ff0259ec62410b5ee2dc313c3,0.0,1,1,0.0
dcda3fbb7ca86afe7b32a78c62916086c5d424d0,0.02,1,1,0.67
307daad3e23359a29579a5c0900240e75fdfd834,0.0,1,1,0.26
fca7734f0dffae5a3caef872ce462cfe200f9174,0.0,1,1,0.07
07d820b1571dbcfe9fa4650fba748490b83ab1a0,0.0,1,1,0.26
9d5d0034641aeb98c4c8a2889bad1739dd32a11a,0.0,1,1,0.88
46248f626f8d4d78fcb47ac8ef2b63be4132948e,0.02,1,1,0.59
e2659bf07f617b91b3023e1a73bc3ea81af7650e,0.0,1,1,0.43
73a27745ea30808881941ecd97a4cb9197886455,0.0,1,1,0.69
0121252edf4eab886eb16595d4f6c971772d076c,0.0,1,1,0.74
57f035d4cc7a039a14811d80fae40098c79da7bb,0.0,1,1,0.49
cb53a31b429951dc12b0b4c0858869cc6407179d,0.0,1,1,0.35
82b14bcde72126bad02a2cd960e9bc3a7eb920d2,0.0,1,1,0.23
a6c832f66a1f2e0c0436c56ab4f90b5c1a9769d1,0.0,1,1,0.62
64ce64dcaa326c3bdff04a6d15b0af7368103157,0.02,1,1,0.0
25341ec870372af7342c84aff36309da1caf04af,0.0,1,1,0.35
de66264a9a59abe059c84e7cb1f6f8fe0b5d13da,0.0,1,1,0.71
fb536af42f2f01bab2802e53cf84a6efc18b8186,0.0,1,1,0.4
a01e2e21a007f7cc3eb1eb2ecd6aa2c0f5464290,0.01,1,1,0.14
f10a8dfa3cd585e96b8245f4b776146f9ffb9b1d,0.0,1,1,0.48
f9d6f18f8d1c7ee0c1fa14a335c2b4eaf5e50bd8,0.0,1,1,0.03
f2c142ab70c74527a6d0dc27c0f4e4a014f5f472,0.0,1,1,0.62
35b9bdbe058ed1eaec45c61ec9e78570a7106573,0.0,1,1,0.7
bf054756c995f2d8db6b4848c1a623f98122ea4f,0.01,1,1,0.72
26f08c6fc5de18dda582a457df4d0204ce795670,0.0,1,1,0.01
f06b1a9d0e40283029bb0e05c4bd1709c948b626,0.03,1,1,0.86
cbc8b34a12ff65f9e83cd7f41ec1cb7a836e8885,0.01,1,1,0.73
6a3c6dcac8935d4a05911bc032be286f99dd113b,0.0,1,1,0.39
cfb20ac1ac7ad81b4e985192a82582455f9bdd85,0.0,1,1,0.36
468222138d32d8ba0bc98eeeb95689fa6fe54887,0.0,1,1,0.43
92b6a29626cdd5191ed6a8a0ec6fe74ef0465126,0.0,1,1,0.12
e349908fbac6749f066f3ace4da7237bb00d455f,0.0,1,1,0.34
448d22d99be1befbde4f7270a374f5c3d0f1bd65,0.0,1,1,0.24
fc34f1f5c9c020a97088b07e53b2872fd7e7296b,0.0,1,1,0.2
0a57be06f2a22f3911dc730e6b9948ef769d38f5,0.0,1,1,0.02
77224a38d1457008fa3d9db3d53391ba5abda9f9,0.0,1,1,0.48
45a80847195026f46a0fd9bdf557eeb3470b6a91,0.0,1,1,0.18
