event,grade,quiz,std_id,video
400,"3287    1
Name: grade, dtype: float64",52,3e61a931e3c0304a988e0073d49cc039f533539c,15
349,0,58,ecb1be28b2a4420b31ea9c8a2c67698d22d8f0ba,18
928,"25911    1
Name: grade, dtype: float64",158,e1f9236a1453015edf3a8c4efb17b7fdf7ba9ff8,30
1,0,0,cb4592d9fd28a09d5af8e56cc1402172e27ab273,1
380,"7394    0.97
Name: grade, dtype: float64",48,04324972ee5cc3bf077ba247fb005bafa9dcb371,10
632,"15377    1
Name: grade, dtype: float64",49,cefa03515914400c4dbc37a72e345bede1c8ff5f,13
641,"26492    1
Name: grade, dtype: float64",118,3c83761a31205ccf2d78ea81a52bfcd4b5038462,15
70,0,8,009924e3288ff5937d35026eaf9cfa003f30bb3e,4
28,0,0,59dc983e1c3e15152dddb7bac0e636a185808c26,3
251,"24411    1
Name: grade, dtype: float64",4,f2ceb178abce17544f648b7808c694bdc42c2b9f,6
211,0,24,4905bd8e514e14c6170003a284653500cd2c676f,5
202,0,14,a37dd66db40e86b1c07c9222745313b36c4f8ba7,7
2,"20765    0.07
Name: grade, dtype: float64",0,6fcb0a099328067161fdf1b93f63f30d20f5c8e2,1
1183,"1573    1
Name: grade, dtype: float64",64,7e94fef6b36d3566794198feab74c637180e167e,21
26,0,0,d0a1a0d58b42ba3ca083c3c8d68b8616a099ad3e,3
171,"11237    1
Name: grade, dtype: float64",24,e595ae384c1a3fe519caee3fa64c4b2b107ff05f,10
315,0,58,2ddeb7d074cfc0e076014698cd09662511019b0d,8
52,0,0,890cccdf57d4f52b2eee8ded63425a6f3aaee279,2
497,"30128    1
Name: grade, dtype: float64",63,e5586c5965554a4fd883423d29041ddf0eead88e,20
421,"22919    1
Name: grade, dtype: float64",36,826355df95b7fdb12f8e9c405785d597b26e1cf2,11
205,0,4,d13c6f3fc9d82f1bb41f2adc2031e2fac3f36425,6
268,"5882    1
Name: grade, dtype: float64",64,14e945e0f5d006be4e6cbf3f9c415acaee8d38e4,14
391,0,44,69e6faecd8cb8eb49e07cbdd765b29fe43435b13,13
97,0,14,7417f56379baa235691cb0b2eb9ebd5bd3cf2a96,6
527,"21123    1
Name: grade, dtype: float64",50,cd351ee174eafe454565c38b73e0e078ea7e296d,17
365,"13629    1
Name: grade, dtype: float64",46,bada629d77472154a6a6c30adcc39bce98083184,14
627,0,88,e42cf093686ff8b922e8403ce6dc82bd8aed7149,16
73,0,0,3d488c531fc7438d1578175087ea3b5c93585556,4
73,"14924    0.92
Name: grade, dtype: float64",16,8af43e17328ac256602b1256a5bd290b6ae79c80,4
495,"13742    1
Name: grade, dtype: float64",50,c2d5385a87b73fe9b827508018340f48817fcdcc,11
423,"24594    1
Name: grade, dtype: float64",75,0847172f0a9e48a6c601053a6bee97395c029773,18
1805,"18311    1
Name: grade, dtype: float64",285,4108cffb34b33ac1e188ab807d81ae411bd8d0c5,15
1088,"5444    1
Name: grade, dtype: float64",144,0104fb7323af9dc6db2cf4805584af31b7322275,24
55,0,0,863c39df96cc87d86949328cc940d1b30292af76,3
582,"6507    1
Name: grade, dtype: float64",86,8a0b7f5a22bbd431c86195334e31bbc46b657dfd,21
470,"23391    0.95
Name: grade, dtype: float64",26,1a41b8a77a00207b5ffe618db3bd1a89aea02ec3,12
741,"5962    1
Name: grade, dtype: float64",86,317549879fe672209ae9adc05067da85f3f7c8bb,20
911,"7359    1
Name: grade, dtype: float64",63,46b5044e8f963ba46fc874f522d2a9f52401026f,14
14,0,6,42b7a6dfda693a9b3d4966dcc422d8f696a276a0,1
6,"2448    0.1
Name: grade, dtype: float64",0,b2362f07fce84a96eab9e6b2d56f8171815f2492,1
517,0,114,48bad57ee771903461e2718478b74baf9bbf1b22,14
86,0,6,b5a50cde63f9b4550544832a59044be0496f5e2e,5
480,"30472    1
Name: grade, dtype: float64",63,dc657ae6b087903c7dd50b17c560a04ea83a94e4,16
13,0,0,a2c780f0fcd979a4925506b1546719bfdcd9be4f,1
21,0,0,597cdeaeaeac6159a6685327de0d5d6d6518eb94,2
296,0,38,73bc31371a4d3410e546b9f93bd033427485c238,3
55,0,0,c4cd0cf17aeec33d0306c0b6e1699b90283a3397,3
256,0,20,b3806715dab6f662691eb4a6240d11bf31abfd8c,12
29,0,6,617aa3d879151226e3d5d976f42dd443db9c1c67,3
21,0,0,bc2fb64351e2a8297962a710f1c26edab2216e9c,3
235,"19773    1
Name: grade, dtype: float64",22,3661323bd8104b73dc78401688c7b371c861fb36,10
354,"20221    1
Name: grade, dtype: float64",50,c6f2f610293bda993c19a45ea5a648929158c60d,14
24,0,0,431ead8d97dcaad8dffab4e211a4fda49a519bdc,2
66,0,0,361cf80f201ec28b067ab048846e9fb0cf058149,3
275,"17194    1
Name: grade, dtype: float64",36,5176877d3b280a1d6861ce41e3951609a12b62e2,14
280,0,42,22ca1980c7409e31da88827a72677ea376ff96fd,14
365,"20751    0.82
Name: grade, dtype: float64",44,3c48f53aac6fcfb554e44696b97795c1ce9b2baf,18
174,0,10,fc35854d202122b98081b3975f02c80bf43ac154,7
144,"14899    1
Name: grade, dtype: float64",30,066f6b1475951e662a9d20d2d0687a4d55ac7c43,10
15,0,0,004e28de183ec17fa7f7fb34f78715068fe0175c,2
100,0,10,c223a35df231e7798a378ec169445a182a9d8405,5
56,"24131    0.99
Name: grade, dtype: float64",0,d38fbd989835819072db3288bdb6f0d16c7732ad,3
300,0,26,a8890d1b40a16fa5f0958f9d6dc0015ab1d85eb0,12
740,0,40,aa75d572c4d9b2d4eeb840a409a5f340305dc623,19
75,0,12,1d5f6fa21df469c67b5a404afe99a041870b14a3,3
405,"7346    1
Name: grade, dtype: float64",93,fcb6ac997e53aa52f280dedcabe817e72a3e4a9a,15
26,0,0,421a8ddbc416e479398d18d69eb9a98779ef0d37,2
270,"32167    0.43
Name: grade, dtype: float64",10,18b8d6d708f82d360c8899988ce8e5bf4e2fa55a,18
14,0,0,e51223ee779ccbc19b370ea5687f22d6a4a77861,2
752,0,64,6eeb188280b953395479a43bc02ddc200b8378e1,19
442,0,72,41d054f53b270e0762e19d468d5796fc0fa11fb1,19
49,0,8,3d241c6d33207dbbd6174e645a64969c273a8694,4
2,0,0,5fbe6e14d4b6aeceef9030f3a8e4e0861fe57216,1
904,0,144,97d7e3750603c3e92e0a76a629ab85e76656a635,24
2,0,0,99d85239609add925473e412738526b3dba25a63,1
161,"2642    0.99
Name: grade, dtype: float64",12,35caab176d3059ae113a364286a4c5607917e9ad,6
319,"10678    0.97
Name: grade, dtype: float64",58,f2b1b5a963a1f3fb22db53f183b1e70a2334797f,15
248,"18089    1
Name: grade, dtype: float64",54,89a3320c1baa5dd49ab25b32ad9d12c2474a0b6b,9
349,"4007    1
Name: grade, dtype: float64",12,e6c2711074ec817147fbb54c74371f89019af76e,12
175,0,12,62aa5bb99721e59e1dad9682e5ee86858194e809,8
5,0,0,98cb7744503198d09730d7de244f808c08c35754,1
997,"5575    1
Name: grade, dtype: float64",66,a068448867ed349e18512ea2932f2525b1795b31,18
73,"17395    0.14
Name: grade, dtype: float64",0,135a6f447c9231f29deb83a18b19ab9fd3299d82,4
202,0,28,1434eb3445a8a023fe308b50e71cb504d19061c2,10
3,0,0,d120d79ebf71ddc3579e2c0f6f0e6b92fccaea7e,1
474,"13819    0.98
Name: grade, dtype: float64",48,dd30385995293b456ca5e199b581c6230deac7d8,16
19,0,0,670be0c4d9e1baeacab2b8ae4dad23fa963addb5,2
359,"3803    1
Name: grade, dtype: float64",44,157c2b5981f4c8a2155da2418a856f6ba82eb0a0,15
782,"15315    0.99
Name: grade, dtype: float64",61,bb3e371b52eac95a194c46fe548a651a8fc4d476,28
707,"16279    0.91
Name: grade, dtype: float64",102,bb5d172ade3e65a283f0edcb4e1dee1c35d6be6a,6
1929,0,28,582cc30fefc71e921df94851a02b01f507d199cf,20
1586,"22664    0.8
Name: grade, dtype: float64",425,5dac54e5d643ed96ba55f595d01bdd7930b0881a,16
673,"414    1
Name: grade, dtype: float64",137,2ca6bf59d71920304feff91d79a45f2e715a8ee6,26
167,0,0,151417f9f7d4840227baec08f724e179095afdf7,12
228,"7105    1
Name: grade, dtype: float64",29,0cf7e8b358bedeb28b2c82706c820743c0391458,8
685,"31427    1
Name: grade, dtype: float64",108,c8a805e03ec710c5e5d77387e257a9b99f6f9c25,23
36,0,0,2262ddc4f511ef4ea11e0434cb90f912721e3f82,3
633,"22739    1
Name: grade, dtype: float64",58,4cf89be7613210dd62b516cd1f7c706454197779,20
299,0,38,0d8b04aeb841247b1048130328388fe1b4389a65,12
514,"5795    1
Name: grade, dtype: float64",82,30da60c669c48888354fbe2d76f4bd695a19c8a4,22
10,"8588    0
Name: grade, dtype: float64",0,3062a8758f1bfbf6dbe355e8538950bc17fb702d,2
11,0,0,accc2625c35441f7de978f55c5283446280f9dbd,2
2,0,0,413577e0f4f5ce50221e47a2c437069915b616a0,1
339,"5567    0.93
Name: grade, dtype: float64",44,04c2a0932b2ce0c7a883230da7b27a0e234247e2,2
2,0,0,b2c9dd649ff64f85d705b2fd7399d58c391d3d0f,1
116,0,8,edb73d43e39e4dc88b536b48892c99b1d1030809,5
708,"14316    0.14
Name: grade, dtype: float64",90,ccd7060e8402cd5588155c043eeb5fa7cbcfa8cd,19
686,0,150,30fc4b511260f5b49344cb3cf5ad439f05543baf,9
98,0,12,29b444a8aa2f8e6a33e9ab34392bdbcafbd1ff2b,6
87,"24303    1
Name: grade, dtype: float64",6,5e4c355498d96177fecd2fac3480439cdea16a3b,5
105,0,4,9d9d79b82d8b2cd23e3517f643bb355b2f988f9f,4
586,0,24,c4ead633131aa106b0a65d55e6d3cf8c3f77cf6d,9
557,"7598    1
Name: grade, dtype: float64",50,8de46f7cb453c539f0d9ba40cc136d5ccf9898cf,22
334,0,26,f6d45708630e3aedb3a4bf07e7930eefabc63661,10
671,"4344    1
Name: grade, dtype: float64",138,839b60b21f1417940b7e0eb88e7d684817c7dceb,24
3,0,0,442910016f8138618d66387b4cbacb3bacae35ee,1
465,"11733    1
Name: grade, dtype: float64",74,b0497bfb25b93443211b54c36ee4ab097356f84e,23
128,"11015    0.29
Name: grade, dtype: float64",8,515c28c75194685eb33b42c332e95d4acdff91eb,8
20,0,0,5e61a62461fd9c933963fc7f54844f54b49d852a,3
403,"24305    1
Name: grade, dtype: float64",67,c15f75827589137e0404ca8f2d4b53f7703f953e,21
54,0,0,2164670b8532611cb44bb6d15b4e52fdfac293b9,2
1004,"13048    0.98
Name: grade, dtype: float64",231,ca0c227ade26d1efccefc668a8dfa8fdd4d6515c,16
484,"24367    1
Name: grade, dtype: float64",34,b13033231bf933e53a0bde20be7849fc75524d2f,23
13,0,0,0d27d93d6adb760f5f2fb2dfa4f30e38cdfacd7e,3
75,0,8,199f14509b3eadd4f6e783bd5779249b615272ce,5
229,0,26,e08bfe9bf864efe72a8cb6b924a02db66cc6d7d5,9
114,0,14,890b7739f0b03c6d1cf4335f36449180fc0e7087,6
53,0,6,dbc7b06c276792c07bfb2b0536a729c694e71633,2
780,"19316    1
Name: grade, dtype: float64",123,dcde245429175cee5ff2710a732e20e2495f3a55,28
286,0,50,1c509401305c28995a4707248e5b479f1125b254,14
439,"5872    1
Name: grade, dtype: float64",54,b16ba871f3d49741c27e57a702a7819965b1034a,17
65,0,8,bb5af96cc986d9b896ec881e9d2785041230394a,2
230,0,12,b96dc27f8229c757a804f6cb31bb6680bcce6f46,8
39,0,0,a995ae5900467a5f96a227b1bcc84ea5ed91efef,2
493,"19777    1
Name: grade, dtype: float64",61,0969a131f15653f82571e251c82664bb79fd4085,19
503,"23784    1
Name: grade, dtype: float64",138,16674788c8b546ddd0e6c2a9a84b5095c70ded03,24
136,0,20,d44e19a2aac67c34e67a6d10af9325b8813ff494,7
26,0,0,28cd7821b894664fc86cdba910dff0ad7f3c0884,3
1142,0,78,29e7db9d09463a4ba6e8a2517b64fdb9f23d4e57,17
232,0,8,6cdb4d32c1693bb043826f180799eb278b815d51,5
24,0,0,a4dfc58e237e8cff519aa470ed4fbe38957bc246,3
2,0,0,c44b512e20e1d25277ce7bfcc8ba1fc7491373ea,1
90,0,8,37d5b4d4e6c15dc78612730d2365cfd9d683eca4,2
2,0,0,0853d3cd22772440310f891f1712b2ca72d045c6,1
14,0,0,6dbb31112e866344c3b6d0acb9837b49f5181066,1
437,"22797    1
Name: grade, dtype: float64",86,b683e12abc80623c2652b5e0e37e6981f04e8d67,16
91,0,14,fb2b8f3c293528ce1a66d7808173f546c215e926,8
10,0,1,61c203fb047c2b6efd9e5ffe901ec7ab74f910e3,3
29,0,0,fcbf3b77f75149b4afc4302042380b47dfa7f081,3
1006,"12628    1
Name: grade, dtype: float64",124,0849de879ca0e4f7a47cbe5382cb3409af97b270,2
167,"9230    1
Name: grade, dtype: float64",24,9a6d3f94d797468f5fc7b828ea5a3c390138e294,5
338,0,32,04971710a0cef5291fd26db5c136e53138747634,9
235,"15122    1
Name: grade, dtype: float64",47,8c50798422c5835a3a30801ab4ec40c7d7deaaae,6
493,"17698    1
Name: grade, dtype: float64",57,42f6556bb6e3e05b0cdd3e1e9a9ae5baaa88dacb,20
338,0,40,7d79205d8b1eb1c99e31044190571d56984cb56c,17
7,"13493    0
Name: grade, dtype: float64",0,e09b81e6ed22d05b789b8209d109ec0ee13958be,2
30,0,0,8260337d43584b8f191bcc2974c980c0fbbd42b9,2
911,"15291    1
Name: grade, dtype: float64",127,40dad01022f8d3cd118f1b809e229bdbbcbdf10c,20
1,0,0,0d6fd0e16c556ea0c4b8d999eeff5fa4526297c0,1
116,0,38,23d0fec80cb1b68d281e31af019fe3955374c527,1
322,0,22,4b5310f704972cde1835c62a56678a6ea81af0df,10
11,0,0,d3813e65f3a158eb2df545f348b3a6ee7c23b2aa,1
98,"2760    0.92
Name: grade, dtype: float64",39,15926c5a910a51466735bbcb0762b186d07388ab,2
239,"14997    1
Name: grade, dtype: float64",48,43fbe10a1662ed7eb0e13e030b796aa79419d07a,11
357,"1686    0.99
Name: grade, dtype: float64",36,3bb54b4f4eac60e0659206afbe2e41e535cf8497,9
398,"16417    0.97
Name: grade, dtype: float64",125,a8b2e10acad1be9c4ba7d6bc700cb32d504df6dc,1
119,"9991    1
Name: grade, dtype: float64",12,66225f5771ede9e64d4cae7e82c8c85da6e59ef6,9
159,"14589    0.07
Name: grade, dtype: float64",0,fcc56c40d9d9f708b3dda6cb6e4caad6845b601c,13
85,"6235    0.9
Name: grade, dtype: float64",12,4935ca20edc833849587e908e81aeaa16f2bc2ec,6
667,"18859    0.96
Name: grade, dtype: float64",54,0092b3fb413ae19171597a5ab42e2b1d2b4140c0,21
1,0,0,f85e20668bbc77bc5e9186fb213df6bf38345f36,1
656,"13700    1
Name: grade, dtype: float64",64,62dc8dae53063a3fbf18a92307825213729a5519,18
226,"4383    0.14
Name: grade, dtype: float64",11,c8e4d9f738f7babac78dd4eceb0e27f6b212b854,6
1,0,0,466180d7bee823bef4d4f1b8be173beb5cedfafb,1
115,0,18,4be1b15f8bb5003c5f63fe65360a8e0acf28d23a,5
150,"3335    0.93
Name: grade, dtype: float64",6,17c1eeb594bcb862c05012c69b35f7fda5e07ce5,7
259,0,60,86cb5ffdd0a6f4e3d6b054ee5fd4702520db5f63,2
2,"33374    1
Name: grade, dtype: float64",0,0546a20d3aec3ce44132db2b5816e71068dc68f0,1
10,0,0,623ab4f766cbf2ebadb657fd952a069b6578f04e,1
17,0,0,9ded338b49c670f6d5146eb241a5eb039b7ee5a5,2
35,0,6,f74f3b855e4ad1c84fa1fc260969f28164a5527f,5
653,"31120    0.85
Name: grade, dtype: float64",63,5beacad52c222b5d33455a90052a9af00c2a0dc4,12
304,"23260    0.95
Name: grade, dtype: float64",56,d784dfa1ec2489dc7d5abae6d9dbbe01cf4d42f4,14
124,"33565    0.03
Name: grade, dtype: float64",18,03ca0be88f75a53ea50a088e3aa1decc776eb081,5
68,0,4,ac6d65b0c78829ed03eabea6aa01b9cad7129678,4
7,"23365    0.17
Name: grade, dtype: float64",0,0ac515c3d908ba8a9315c996e692b7da63c4c3cc,2
407,"11746    0.97
Name: grade, dtype: float64",66,ecd35e33008fc5b34e485e4391015d5e5b8164a6,15
369,"268    1
Name: grade, dtype: float64",53,480fed007fd9f531a497cbbf9f91581415cf8375,17
534,"20689    0.28
Name: grade, dtype: float64",74,92be6909033c6b74cd1bf4d6a87bf031cd9b6088,20
41,0,0,9913d8f0a8909f5b0dc6d82fa48f25af47fc91b2,3
3,0,0,4d9f311e1f2dab9a1ac02a8d56003362a24b2242,1
345,"22120    0.86
Name: grade, dtype: float64",22,c2a13647c7e5baad0e8a4475be465a060c6f73c1,9
86,0,6,e1abb9c37b84e580399f280f5bcd5402962e0a25,2
669,"21197    0.95
Name: grade, dtype: float64",198,9f7e8d50a5a69da58c5312c47139aa284fe7bb3b,9
89,0,2,30219288a34990fa464be40b4f53f281082820aa,5
66,0,0,e29c3b3ffe21c22a154a62d15430df39d5b3df28,3
701,0,74,f35c20c32a2d235c14b4d92d1ceda2007f81641a,7
165,0,14,10420cf3d61fa2bde0e66af743fe27c4fe189780,6
485,"18627    0.99
Name: grade, dtype: float64",51,80ec721ccaf5238866d33f6a19c9af2d12dd144d,7
95,0,18,1be875d3bcdece79997570a6fefe26feb3c3fe24,4
58,0,0,54ac8140bd5cead18c6f71bfd7f3f91e884bb948,2
258,"17673    1
Name: grade, dtype: float64",30,d35b37be141151e661644d551993b3a4166bce42,12
110,0,0,c951ed3baa9975286ebf610110fcf5c95bae1775,5
43,0,0,8228c151425e3f046c7ac31f4895429ce5b0a421,3
12,0,0,195e3172cbb5db54d84f423ddbcfa112b25d286e,2
426,0,47,fe4d0f590c9b5bd89a0356a09de91e402977f481,13
28,0,0,64e7dec99b9f9f3e38d22646c28a47ac018d88a5,2
313,"5272    1
Name: grade, dtype: float64",24,0a5a011273f53c3b7a0c156ee21603a7904fb1fe,8
753,"11385    0.98
Name: grade, dtype: float64",177,1390fc3da734f007a88d0c8c7709ed125ee92ef7,16
167,0,4,3257732b07ecbd308210bd66d515f08d3f8c4421,3
