['e653a3d36f9ab761bc7392c51d4b2c14ef73cee2' '0' '0' '1' '0.13']
['12942e387f190bef4b4d181c7d23b686d842097b' '0' '0' '3' '0']
['036097facc16925c460fadc194ee496e90ef50bc' '0' '0' '2' '0']
['2e250ccb4b36d7ac46d3102bcc9a733e442b3b20' '0' '0' '3' '0']
['cf12617833076879aaf751c0505815fcdab5c318' '0' '0' '2' '0']
['3e8d812ef108b341ed7f42eeb835f0ec70548ff2' '0' '0' '1' '0']
['7ec799686d35411f27ac812660ff7a5870a6b8b7' '0' '0' '2' '0']
['417f2f654d8448debfd776106a42c2637daed5f0' '0' '0' '3' '0']
['cb751a0e6faeca24d63239b8f73cdd8c02d32825' '0' '0' '2' '0']
['f1b3a91e75ea052297c804f82ecdc76935a7c98a' '0' '0' '2' '0']
['4c3ccd66857b2ef9ddacfe861ffd992de22eaa19' '0' '0' '2' '0']
['10b089963002b067150e8d7d6a206e42b49e2774' '0' '0' '2' '0']
['b6dd96717fee9bcfee22a3d368787042aeb38ce0' '0' '0' '1' '0']
['10cb66158dffcb7d3ade135336a5bbb7fbee9992' '0' '0' '2' '0']
['bf72bf1f5d3a9285d6bde2953c35ba1fd016722d' '0' '0' '2' '0']
['c33341068871c985757d30e5d438b909f5b50039' '0' '0' '1' '0']
['6e7ac44dcadf26d2a8b4d6fb6b13cde2a54828a3' '0' '0' '2' '0']
['742bdf13736b5b11aa864fbfac517bfc11bc0252' '0' '0' '3' '0']
['29afb6d915b4d52ea22a2450dccb40c02c21668d' '0' '0' '2' '0.72']
['ee825abfb8cae0c8fa2fb471854f1d1f890b6fa3' '0' '0' '1' '0.03']
['90b6d069a0eceec0d341ff39910894ea3e6e32cc' '0' '0' '2' '0']
['a0965f393778ab56be0208b6ad50ecf54fff4ba8' '0' '0' '1' '0.07']
['5c62d09b7f43a650ec081cf437a22afc5fdd4da6' '0' '0' '3' '0']
['0a1da8cef7da227ab33b26d9e0a48971ba9972e4' '0' '0' '1' '0']
['b59ba5bcb53076fe0a9df9fa53412c45d24ad542' '0' '0' '1' '0']
['bd9f99ccee631f014e253520a5397b869b86e8c7' '0' '0' '3' '0']
['69d26f53c605a7e25b18194905722295dc8454a7' '0' '0' '1' '0.3']
['860fa68b559ba6169fadfbf8dbb4e05cd22c0054' '0' '0' '2' '0']
['31bd3fc48e8fcbf21d212edf308cc20f42996a39' '0' '0' '1' '0.72']
['68bdaab8d7c1161f8860c0e61b85ea83ff253145' '0' '0' '2' '0.58']
['6cf5668c2bc2a614ef8bd38d1f0fd284ddf46cf3' '0' '0' '1' '0.07']
['0a3935feec5703b45e2c0505efd68055cd206318' '0' '0' '2' '0']
['77a154bab75fada633cd8b867d8f7f73939e481f' '0' '0' '1' '0']
['5a87c07349c2ee9c26dca3d297dfd9d0b1ba1372' '0' '0' '1' '0']
['ac754c13d20607f181b37471866e7f08f1845eea' '0' '0' '2' '0']
['e81aa0bed2d0962788ab12421ec9ca7d8e23b839' '0' '0' '1' '0']
['1d8189365ac0f3ec3a829d9ba63b6883cf9288ca' '0' '0' '1' '0']
['32f92bef0a2d41430f19b9fd4f9e7698703c43d9' '0' '0' '1' '0.52']
['cba55d4d1c6b4526247413d583997faee6def9da' '0' '0' '2' '0']
['be904176fe65cadede87087dd5abfe38fbc15a95' '0' '0' '2' '0']
['bf145a96a63e4f0084f8a9e10705a398dca7c2ac' '0' '0' '2' '0.09']
['ea338683c7469b60a78bfe9d10aa18a97e0f7813' '0' '0' '4' '0']
['2366da7f26cb7054ef7b25b0e6bb5cb829d9af79' '0' '0' '2' '0']
['815daff404bf76d111f501b36f2cc806a5f0e96f' '0' '0' '2' '0']
['6a4fe8aa59a59e8d984686efe2ededef2acc371c' '0' '0' '1' '0']
