user_id,NP,NB,NF,MP,SR,AS,RL,TP,ES,session_no
56dcc2a4892941e807c6a01f992e1c4fa2b5dde2,2,1,10,56.5,151.643,1.25,13.28,781.497,0.25,1
a4c6b1afdfdbf36e69917d59721b964d26eda462,5,0,0,1.0,0.0,1.0,0.0,781.513677,0.0,1
9d877775d933f5860bc5ef9478b9107a5743b74d,8,7,0,40.0,0.0,1.0,101.879,781.521,0.0,1
c5bcaa30a314792a481a8f908fe0bd6dddefcc86,5,2,0,9.5,0.0,1.0,63.657178,675.24,0.0,2
c5bcaa30a314792a481a8f908fe0bd6dddefcc86,15,3,0,48.0,0.0,1.0,764.049813,776.621012,0.0,3
78c26ef1323d17eb15b1ddfa20d04a0d0a083ece,12,0,0,34.5,0.0,1.0,0.0,631.497936,0.0,1
78c26ef1323d17eb15b1ddfa20d04a0d0a083ece,5,0,0,5.5,0.0,1.0,0.0,150.206395,0.0,2
ad064ed690d5719187afcaf0f1c7bcb036a7e8ce,1,0,5,3.0,466.847462878,1.0,0.0,500.119646477,0.0,10
1cd4e9ffb38c1264e22aea86e5d92ab3fc845ba6,15,1,8,65.5,323.399937,1.0,433.966553,781.681248,0.0,2
cf935e01df28b8256d3a439b34602d83d6289c76,21,3,0,66.0,0.0,1.0,227.62265,261.888458,0.0,2
cf935e01df28b8256d3a439b34602d83d6289c76,28,0,0,107.0,0.0,1.0,0.0,520.699496,0.0,3
a385ae4d8e3e8676a02857fe261ca6ef8a536d4a,11,5,1,141.0,24.177498468,1.25,135.939085736,781.583302808,-0.25,5
ec8af0464b5eefd358b8620f3c19a33b4e1f7330,29,8,0,29.5,0.0,1.0,87.264371,781.547301,0.0,2
ec8af0464b5eefd358b8620f3c19a33b4e1f7330,3,3,10,6.0,395.006218,1.0,574.620498,781.681053,0.0,4
ae60629c291b279a353aadc1188be757922e6b69,3,0,4,809.5,148.658195,1.0,0.0,781.654542,0.0,3
ae60629c291b279a353aadc1188be757922e6b69,1,1,6,3.0,451.715,1.0,533.561,533.561,0.0,4
7352480d14eabcc83205de6649c744ca0ef92ce7,8,0,0,62.0,0.0,1.0,0.0,764.104476929,0.0,2
